concept_id,concept,prompt_id,prompt,attribute_id,attribute,attribute_values
1,a helmet,4,a helmet at a wedding.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
1,a helmet,5,a helmet in a submarine.,0,"What type of helmet is depicted in the image (e.g., sports, construction, military)?","{'aviation helmets', 'diving helmets', 'motorcycle helmets', 'firefighter helmets', 'mining helmets', 'engineering helmets', 'construction helmets', 'ceremonial helmets', 'bicycle helmets', 'equestrian helmets', 'military helmets', 'skiing helmets', 'sports helmets'}"
1,a helmet,5,a helmet in a submarine.,15,What color is the helmet?,"{'yellow', 'black', 'orange', 'gold', 'purple', 'green', 'pink', 'silver', 'red', 'gray', 'multicolored', 'blue', 'white'}"
1,a helmet,5,a helmet in a submarine.,28,Does the helmet have any logos or graphics on it?,"{'Yes', 'No'}"
1,a helmet,5,a helmet in a submarine.,40,Is there a visor attached to the helmet?,"{'Yes', 'No'}"
2,a bin,6,a bin in a park.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,6,a bin in a park.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,6,a bin in a park.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
2,a bin,7,a bin in a kitchen.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,7,a bin in a kitchen.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,7,a bin in a kitchen.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
2,a bin,8,a bin in an office.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,8,a bin in an office.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,8,a bin in an office.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
2,a bin,9,a bin at a concert hall.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,9,a bin at a concert hall.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,9,a bin at a concert hall.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
2,a bin,10,a bin on a mountain peak.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,10,a bin on a mountain peak.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,10,a bin on a mountain peak.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
2,a bin,11,a bin in an airplane.,1,What shape is the bin?,"{'circular', 'octagonal', 'square', 'cylindrical', 'triangular', 'rectangular', 'round', 'oval', 'hexagonal'}"
2,a bin,11,a bin in an airplane.,16,Does the bin have a lid?,"{'Yes', 'No'}"
2,a bin,11,a bin in an airplane.,29,What material is the bin made from?,"{'mesh', 'cardboard', 'carbon fiber', 'rubber', 'wood', 'bamboo', 'wicker', 'plastic', 'ceramic', 'stainless steel', 'fiberglass', 'metal', 'aluminum', 'steel', 'fabric', 'glass'}"
3,a telescope,12,a telescope in an observatory.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
3,a telescope,13,a telescope at a science museum.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
3,a telescope,14,a telescope at a home office.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
3,a telescope,15,a telescope on a submarine.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
3,a telescope,16,a telescope at an underground cave.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
3,a telescope,17,a telescope at a fashion runway.,2,Is the telescope stationary or portable?,"{'portable', 'stationary'}"
4,a teapot,18,a teapot in a tea shop.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,18,a teapot in a tea shop.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,18,a teapot in a tea shop.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,18,a teapot in a tea shop.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,18,a teapot in a tea shop.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
4,a teapot,19,a teapot in a home kitchen.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,19,a teapot in a home kitchen.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,19,a teapot in a home kitchen.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,19,a teapot in a home kitchen.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,19,a teapot in a home kitchen.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
4,a teapot,20,a teapot in a British museum.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,20,a teapot in a British museum.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,20,a teapot in a British museum.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,20,a teapot in a British museum.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,20,a teapot in a British museum.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
4,a teapot,21,a teapot at a sports stadium.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,21,a teapot at a sports stadium.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,21,a teapot at a sports stadium.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,21,a teapot at a sports stadium.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,21,a teapot at a sports stadium.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
4,a teapot,22,a teapot in a space station.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,22,a teapot in a space station.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,22,a teapot in a space station.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,22,a teapot in a space station.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,22,a teapot in a space station.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
4,a teapot,23,a teapot in a climbing gym.,3,"What material is the teapot made of (ceramic, metal, glass, etc.)?","{'clay', 'stainless steel', 'silver', 'silicone', 'glass', 'pewter', 'bronze', 'ceramic', 'porcelain', 'copper', 'plastic', 'iron', 'metal'}"
4,a teapot,23,a teapot in a climbing gym.,17,Does the teapot have a lid?,"{'Yes', 'No'}"
4,a teapot,23,a teapot in a climbing gym.,30,Does the teapot have any decorative designs?,"{'Yes', 'No'}"
4,a teapot,23,a teapot in a climbing gym.,41,"Is the teapot shown as being used (e.g., tea being poured)?","{'Yes', 'No'}"
4,a teapot,23,a teapot in a climbing gym.,47,What is the shape of the teapot?,"{'rectangular', 'spherical', 'oval', 'round', 'square', 'cylindrical'}"
5,a rug,24,a rug in a carpet store.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,24,a rug in a carpet store.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,24,a rug in a carpet store.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
5,a rug,25,a rug at a palace.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,25,a rug at a palace.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,25,a rug at a palace.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
5,a rug,26,a rug in a hotel lobby.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,26,a rug in a hotel lobby.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,26,a rug in a hotel lobby.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
5,a rug,27,a rug in a beach.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,27,a rug in a beach.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,27,a rug in a beach.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
5,a rug,28,a rug in a ski slope.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,28,a rug in a ski slope.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,28,a rug in a ski slope.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
5,a rug,29,a rug in a swamp.,4,What material is the rug made of?,"{'rubber', 'wool', 'viscose', 'polyester', 'bamboo', 'silk', 'synthetic fibers', 'nylon', 'recycled plastic', 'sisal', 'natural fibers', 'polypropylene', 'cotton', 'bamboo silk', 'acrylic', 'jute'}"
5,a rug,29,a rug in a swamp.,18,What is the dominant color of the rug?,"{'beige', 'green', 'red', 'yellow', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'brown', 'gold', 'gray', 'white'}"
5,a rug,29,a rug in a swamp.,31,Does the rug feature any patterns or designs?,"{'Yes', 'No'}"
6,a parachute,30,a parachute at a skydiving center.,5,Is the parachute open or closed?,"{'closed', 'open'}"
6,a parachute,31,a parachute at an airshow.,5,Is the parachute open or closed?,"{'closed', 'open'}"
6,a parachute,32,a parachute in a military base.,5,Is the parachute open or closed?,"{'closed', 'open'}"
6,a parachute,33,a parachute in an art gallery.,5,Is the parachute open or closed?,"{'closed', 'open'}"
6,a parachute,34,a parachute at a dense urban area.,5,Is the parachute open or closed?,"{'closed', 'open'}"
6,a parachute,35,a parachute at a deep sea environment.,5,Is the parachute open or closed?,"{'closed', 'open'}"
7,a table,36,a table in a furniture store.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,36,a table in a furniture store.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,36,a table in a furniture store.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
7,a table,37,a table in a dining room.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,37,a table in a dining room.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,37,a table in a dining room.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
7,a table,38,a table in a conference room.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,38,a table in a conference room.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,38,a table in a conference room.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
7,a table,39,a table in a mountain cave.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,39,a table in a mountain cave.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,39,a table in a mountain cave.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
7,a table,40,a table in a boxing ring.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,40,a table in a boxing ring.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,40,a table in a boxing ring.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
7,a table,41,a table in a water park.,67,What is the shape of the table?,"{'square table', 'rectangular table', 'u-shaped table', 'oval table', 'hexagonal table', 'octagonal table', 'triangular table', 'round table', 'oval table'}"
7,a table,41,a table in a water park.,84,What is the color of the table?,"{'multi-colored', 'beige', 'green', 'red', 'transparent', 'yellow', 'wood', 'orange', 'purple', 'mahogany', 'black', 'pink', 'blue', 'brown', 'gray', 'white'}"
7,a table,41,a table in a water park.,100,"If visible, how many legs does the table have?","{'more than four legs', 'four legs', 'no visible legs', 'one central leg', 'two legs'}"
8,a chair,42,a chair at an office supply store.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,42,a chair at an office supply store.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,42,a chair at an office supply store.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,42,a chair at an office supply store.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,42,a chair at an office supply store.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
8,a chair,43,a chair in a living room.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,43,a chair in a living room.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,43,a chair in a living room.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,43,a chair in a living room.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,43,a chair in a living room.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
8,a chair,44,a chair in a lecture hall.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,44,a chair in a lecture hall.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,44,a chair in a lecture hall.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,44,a chair in a lecture hall.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,44,a chair in a lecture hall.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
8,a chair,45,a chair in a forest.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,45,a chair in a forest.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,45,a chair in a forest.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,45,a chair in a forest.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,45,a chair in a forest.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
8,a chair,46,a chair at a car race.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,46,a chair at a car race.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,46,a chair at a car race.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,46,a chair at a car race.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,46,a chair at a car race.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
8,a chair,47,a chair in a sauna.,68,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)","{'wheelchair', 'dining chair', 'office chair', 'lounge chair', 'sofa chair', 'stool', 'recliner', 'folding chair'}"
8,a chair,47,a chair in a sauna.,85,Is the chair designed for indoor or outdoor use?,"{'indoor use', 'outdoor use'}"
8,a chair,47,a chair in a sauna.,101,What color is the chair?,"{'beige', 'green', 'silver', 'red', 'yellow', 'wood', 'orange', 'purple', 'multicolored', 'black', 'pink', 'blue', 'teal', 'brown', 'gray', 'white'}"
8,a chair,47,a chair in a sauna.,114,"If visible, how many legs does the chair have?","{'four legs', 'five legs', 'no visible legs', 'two legs', 'three legs', 'one leg'}"
8,a chair,47,a chair in a sauna.,125,Does the chair appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,48,a spinning wheel at a craft fair.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,48,a spinning wheel at a craft fair.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,49,a spinning wheel at a historical museum.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,49,a spinning wheel at a historical museum.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,50,a spinning wheel at a textile art workshop.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,50,a spinning wheel at a textile art workshop.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,51,a spinning wheel on a high tech lab.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,51,a spinning wheel on a high tech lab.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,52,a spinning wheel at a fast food restaurant.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,52,a spinning wheel at a fast food restaurant.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
9,a spinning wheel,53,a spinning wheel at a corporate meeting room.,6,Does the spinning wheel have a solid color?,"{'Yes', 'No'}"
9,a spinning wheel,53,a spinning wheel at a corporate meeting room.,19,Does the spinning wheel appear to be antique or modern?,"{'modern', 'antique'}"
10,a ring,54,a ring in a jewelry store.,7,Is there a gemstone on the ring?,"{'Yes', 'No'}"
10,a ring,54,a ring in a jewelry store.,32,What is the dominant color of the ring?,"{'steel gray', 'silver', 'green', 'red', 'yellow', 'orange', 'purple', 'platinum', 'bronze', 'black', 'copper', 'blue', 'brown', 'gold', 'white'}"
10,a ring,55,a ring in a luxury hotel gift shop.,7,Is there a gemstone on the ring?,"{'Yes', 'No'}"
10,a ring,55,a ring in a luxury hotel gift shop.,32,What is the dominant color of the ring?,"{'steel gray', 'silver', 'green', 'red', 'yellow', 'orange', 'purple', 'platinum', 'bronze', 'black', 'copper', 'blue', 'brown', 'gold', 'white'}"
10,a ring,56,a ring in a bridal boutique.,7,Is there a gemstone on the ring?,"{'Yes', 'No'}"
10,a ring,56,a ring in a bridal boutique.,32,What is the dominant color of the ring?,"{'steel gray', 'silver', 'green', 'red', 'yellow', 'orange', 'purple', 'platinum', 'bronze', 'black', 'copper', 'blue', 'brown', 'gold', 'white'}"
10,a ring,57,a ring in a derelict apartment.,7,Is there a gemstone on the ring?,"{'Yes', 'No'}"
